case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.750867e+02	2.880137e-01	5.148732e+04	1.750867e+02	1.750867e+02	1.750867e+02	1.750867e+02	-7.128432e-05	-1.092465e-04	YES
1	VOID	1.763312e+02	2.769188e-01	5.198428e+04	1.763312e+02	1.763312e+02	1.763312e+02	1.763312e+02	-2.585946e-05	-1.171243e-04	YES
1	VOID	1.740501e+02	2.824995e-01	5.088343e+04	1.740501e+02	1.740501e+02	1.740501e+02	1.740501e+02	-5.116444e-05	-8.374992e-05	YES
1	VOID	1.806791e+02	2.559467e-01	5.205338e+04	1.806791e+02	1.806791e+02	1.806791e+02	1.806791e+02	-5.563024e-05	-1.267371e-03	YES
1	VOID	1.783350e+02	2.649469e-01	5.118464e+04	1.783350e+02	1.783350e+02	1.783350e+02	1.783350e+02	-6.097225e-06	-1.440197e-05	YES
1	VOID	1.808036e+02	2.496359e-01	5.159621e+04	1.808036e+02	1.808036e+02	1.808036e+02	1.808036e+02	-1.981116e-06	4.655612e-06	YES
1	VOID	1.810103e+02	2.465495e-01	5.213941e+04	1.810103e+02	1.810103e+02	1.810103e+02	1.810103e+02	-1.372764e-07	2.493122e-06	YES
1	VOID	1.798588e+02	2.553423e-01	5.197784e+04	1.798588e+02	1.798588e+02	1.798588e+02	1.798588e+02	-2.159021e-06	-9.117817e-07	YES
1	VOID	1.783678e+02	2.595189e-01	5.169510e+04	1.783678e+02	1.783678e+02	1.783678e+02	1.783678e+02	-2.282224e-06	-5.138698e-07	YES
1	VOID	1.817683e+02	2.528043e-01	5.253272e+04	1.817683e+02	1.817683e+02	1.817683e+02	1.817683e+02	-1.707902e-06	4.038446e-06	YES
1	VOID	1.811904e+02	2.567215e-01	5.292064e+04	1.811904e+02	1.811904e+02	1.811904e+02	1.811904e+02	-2.557277e-06	5.016700e-07	YES
1	VOID	1.815532e+02	2.666114e-01	5.274704e+04	1.815532e+02	1.815532e+02	1.815532e+02	1.815532e+02	-1.334358e-06	9.050032e-07	YES
